rank,ParTI,ParTIpy,distance
1,ParTI_2,ParTIpy_3,6.574769646323299
2,ParTI_4,ParTIpy_2,8.437388864632709
3,ParTI_1,ParTIpy_4,8.990839678255158
4,ParTI_3,ParTIpy_1,12.680335409202632
