rank,ParTI,ParTIpy,distance
1,ParTI_2,ParTIpy_3,1.3722529558630001
2,ParTI_1,ParTIpy_4,1.5787143256089828
3,ParTI_4,ParTIpy_2,2.54107677788779
4,ParTI_3,ParTIpy_1,8.780073635330163
