archetype,PC1,PC2,PC3,PC4
ParTIpy_1,21.2506,-2.2896824,0.73265964,-3.5290983
ParTIpy_2,-8.261866,-14.298313,-6.6295815,-4.6346345
ParTIpy_3,-6.915213,1.2391242,16.9535,-2.2495253
ParTIpy_4,-1.7568635,2.1026213,-4.4443374,19.264194
ParTIpy_5,-3.6250124,29.064795,-10.83713,-9.109341
