archetype,PC1,PC2,PC3,PC4
ParTIpy_1,15.876856,-1.1074177,0.70373917,-2.7803366
ParTIpy_2,-6.406031,-10.715553,-5.3967323,-3.2058916
ParTIpy_3,-6.3217597,1.1162719,12.830831,-3.0854943
ParTIpy_4,-1.0213598,-0.01108493,-2.0414226,13.095343
ParTIpy_5,-2.0767984,20.695555,-6.9621277,-6.009967
