rank,ParTI,ParTIpy,distance
1,ParTI_2,ParTIpy_1,0.4213598875610278
2,ParTI_1,ParTIpy_5,0.4705614947098676
3,ParTI_3,ParTIpy_2,0.808816048542906
4,ParTI_5,ParTIpy_4,1.0693935107662205
5,ParTI_4,ParTIpy_3,1.1962457780506306
