rank,ParTI,ParTIpy,distance
1,ParTI_3,ParTIpy_1,0.823660332721998
2,ParTI_1,ParTIpy_3,1.3076354328550788
3,ParTI_2,ParTIpy_5,1.8574686478691267
4,ParTI_4,ParTIpy_2,1.969782078642062
5,ParTI_5,ParTIpy_4,2.134442295914338
