archetype,PC1,PC2,PC3,PC4
ParTIpy_1,-1.916672,-1.3083346,4.5458293,0.282591
ParTIpy_2,-1.9883828,4.058316,-0.8211227,0.49910402
ParTIpy_3,0.6992329,1.0726409,0.6296683,-4.224057
ParTIpy_4,6.1809106,-0.44281307,-0.0037442166,0.62185025
ParTIpy_5,-2.652432,-4.2087035,-3.1276076,0.121879086
