rank,ParTI,ParTIpy,distance
1,ParTI_5,ParTIpy_1,1.5077209835799912
2,ParTI_1,ParTIpy_2,1.7286434637068797
3,ParTI_3,ParTIpy_4,1.991149397583813
4,ParTI_4,ParTIpy_5,2.950961771007411
5,ParTI_2,ParTIpy_3,3.17756595218087
